time_window,src_mac,protocol,pkt_count,pkt_rate,byte_mean,byte_rate,iat_mean,iat_std,label
40,31,2,10,0.5,72.5,36.25,1656.888888888889,1934.2324992386802,0
40,32,1,5,0.25,51.0,12.75,3455.0,2309.4624194099083,0
40,32,2,10,0.5,74.6,37.3,1743.0,903.5088544115104,0
40,33,1,4,0.2,51.25,10.25,5096.333333333333,221.61753841547218,0
40,33,2,6,0.3,70.16666666666667,21.05,2736.6,2508.178681832696,0
40,34,1,14,0.7,52.0,36.4,1293.8461538461538,1203.9433019702276,0
40,34,2,10,0.5,72.5,36.25,2083.3333333333335,1683.7686895770453,0
40,35,1,17,0.85,52.0,44.2,1172.375,989.6884274019442,0
40,35,2,12,0.6,74.83333333333333,44.9,1648.7272727272727,1948.1807970981076,0
40,36,1,22,1.1,53.0,58.3,927.0952380952381,875.5214391870655,0
40,36,2,9,0.45,72.11111111111111,32.45,1702.125,2058.113035733738,0
40,37,1,6,0.3,52.666666666666664,15.8,3318.8,1862.5006577180045,0
40,37,2,10,0.5,74.6,37.3,1929.6666666666667,2183.984832822792,3
40,38,1,7,0.35,52.57142857142857,18.4,3270.8333333333335,1642.1365858742283,0
40,38,2,9,0.45,74.44444444444444,33.5,2146.875,1457.2690150218857,3
40,39,1,4,0.2,52.5,10.5,4372.666666666667,861.3305598510558,0
40,39,2,10,0.5,76.7,38.35,2168.777777777778,829.8677270773003,3
40,41,1,3,0.15,59.0,8.85,5253.5,7374.416620994504,0
40,41,2,10,0.5,89.6,44.8,2022.5555555555557,1599.7735864108326,4
40,42,2,13,0.65,83.07692307692308,54.0,1558.8333333333333,2390.8450705796795,4
40,43,1,2,0.1,51.0,5.1,9524.0,0.0,0
40,43,2,7,0.35,88.71428571428571,31.05,2385.3333333333335,2822.608486252861,0
40,44,2,7,0.35,82.42857142857143,28.85,2632.8333333333335,2858.0097562231426,4
40,45,1,5,0.25,51.2,12.8,3689.5,2503.704255697945,0
40,45,2,8,0.4,93.625,37.45,2458.714285714286,1529.1777435695863,0
40,46,2,5,0.25,99.0,24.75,4220.75,2953.1002212364324,4
40,47,2,8,0.4,84.25,33.7,2142.714285714286,1433.9466185189408,4
40,48,1,10,0.5,52.0,26.0,1936.6666666666667,522.646630143159,0
40,48,2,11,0.55,86.45454545454545,47.55,1716.4,2980.7333996853863,0
40,49,2,4,0.2,99.5,19.9,5257.666666666667,1716.0915865225063,4
40,50,1,4,0.2,52.0,10.4,3547.0,6076.058014864571,0
40,50,2,12,0.6,87.75,52.65,1653.090909090909,1598.5587542874646,4
